artist,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year
Chris Lane,"Big, Big Plans",0.574,0.58,7,-6.091,1,0.0278,0.076,0.0,0.12,0.4,149.974,audio_features,7yNJCsUH3tXlpQiHSsAc5l,spotify:track:7yNJCsUH3tXlpQiHSsAc5l,https://api.spotify.com/v1/tracks/7yNJCsUH3tXlpQiHSsAc5l,https://api.spotify.com/v1/audio-analysis/7yNJCsUH3tXlpQiHSsAc5l,187307,4,2019
Kodak Black,MoshPit (feat. Juice WRLD),0.769,0.627,7,-4.064,1,0.262,0.394,0.0,0.106,0.49,157.938,audio_features,4KX8vXbouybtUptEyYxtIk,spotify:track:4KX8vXbouybtUptEyYxtIk,https://api.spotify.com/v1/tracks/4KX8vXbouybtUptEyYxtIk,https://api.spotify.com/v1/audio-analysis/4KX8vXbouybtUptEyYxtIk,164038,4,2019
Lil Skies,I,0.649,0.453,6,-7.28,1,0.085,0.627,0.0,0.116,0.431,99.183,audio_features,4ZT9FnbFu1PaBfV3itxiqT,spotify:track:4ZT9FnbFu1PaBfV3itxiqT,https://api.spotify.com/v1/tracks/4ZT9FnbFu1PaBfV3itxiqT,https://api.spotify.com/v1/audio-analysis/4ZT9FnbFu1PaBfV3itxiqT,181891,4,2019
Rich The Kid,Splashin,0.942,0.382,10,-8.099,1,0.564,0.00192,0.0,0.092,0.379,100.017,audio_features,3KLo7ByvjCNyBrfz5DZ2mO,spotify:track:3KLo7ByvjCNyBrfz5DZ2mO,https://api.spotify.com/v1/tracks/3KLo7ByvjCNyBrfz5DZ2mO,https://api.spotify.com/v1/audio-analysis/3KLo7ByvjCNyBrfz5DZ2mO,177864,4,2019
Adam Doleac,Famous,0.74,0.484,7,-5.333,1,0.0365,0.327,0.0,0.114,0.419,95.015,audio_features,7xwstXjqUnGRjwFwwTdL02,spotify:track:7xwstXjqUnGRjwFwwTdL02,https://api.spotify.com/v1/tracks/7xwstXjqUnGRjwFwwTdL02,https://api.spotify.com/v1/audio-analysis/7xwstXjqUnGRjwFwwTdL02,186450,4,2019
Morgan Wallen,Cover Me Up,0.525,0.437,2,-8.285,1,0.0272,0.236,7.03e-06,0.121,0.195,127.994,audio_features,47yypFbq6fu3yUvFoaf2UN,spotify:track:47yypFbq6fu3yUvFoaf2UN,https://api.spotify.com/v1/tracks/47yypFbq6fu3yUvFoaf2UN,https://api.spotify.com/v1/audio-analysis/47yypFbq6fu3yUvFoaf2UN,292663,3,2019
Juice WRLD,Feeling,0.712,0.515,10,-6.004,0,0.0857,0.234,0.0,0.205,0.563,160.0,audio_features,2Jh3UqxnHJMyzMzku4uOtE,spotify:track:2Jh3UqxnHJMyzMzku4uOtE,https://api.spotify.com/v1/tracks/2Jh3UqxnHJMyzMzku4uOtE,https://api.spotify.com/v1/audio-analysis/2Jh3UqxnHJMyzMzku4uOtE,201920,4,2019
Ambjaay,Uno,0.978,0.477,8,-8.159,1,0.155,0.000143,0.0,0.133,0.196,110.002,audio_features,3AEgic4yp82NxMWUjHtxnO,spotify:track:3AEgic4yp82NxMWUjHtxnO,https://api.spotify.com/v1/tracks/3AEgic4yp82NxMWUjHtxnO,https://api.spotify.com/v1/audio-analysis/3AEgic4yp82NxMWUjHtxnO,109091,4,2019
Tee Grizzley,Young Grizzley World (feat. A Boogie Wit Da Hoodie & YNW Melly),0.779,0.705,8,-6.383,0,0.051,0.237,0.0,0.0899,0.451,122.996,audio_features,2HsSzwrvvgiYSCdsYLiJWB,spotify:track:2HsSzwrvvgiYSCdsYLiJWB,https://api.spotify.com/v1/tracks/2HsSzwrvvgiYSCdsYLiJWB,https://api.spotify.com/v1/audio-analysis/2HsSzwrvvgiYSCdsYLiJWB,332195,4,2019
Stunna 4 Vegas,Ashley (with DaBaby),0.884,0.807,8,-3.462,0,0.325,0.00284,0.0,0.111,0.916,144.018,audio_features,4gH4e5ENzVDg4N8fOp2vDP,spotify:track:4gH4e5ENzVDg4N8fOp2vDP,https://api.spotify.com/v1/tracks/4gH4e5ENzVDg4N8fOp2vDP,https://api.spotify.com/v1/audio-analysis/4gH4e5ENzVDg4N8fOp2vDP,151859,4,2019
