artist,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year
Moneybagg Yo,Dior (feat. Gunna),0.817,0.534,8,-6.325,0,0.298,0.00851,1.04e-06,0.113,0.579,140.005,audio_features,683tYxiTlWzupDpaZ2mCv4,spotify:track:683tYxiTlWzupDpaZ2mCv4,https://api.spotify.com/v1/tracks/683tYxiTlWzupDpaZ2mCv4,https://api.spotify.com/v1/audio-analysis/683tYxiTlWzupDpaZ2mCv4,173396,4,2019
Sam Hunt,Kinfolks,0.565,0.805,0,-4.457,1,0.0489,0.0808,0.0,0.173,0.869,76.04,audio_features,53F1MVa1BWUkTBbVqgVAfN,spotify:track:53F1MVa1BWUkTBbVqgVAfN,https://api.spotify.com/v1/tracks/53F1MVa1BWUkTBbVqgVAfN,https://api.spotify.com/v1/audio-analysis/53F1MVa1BWUkTBbVqgVAfN,181933,4,2019
The Head And The Heart,Honeybee,0.642,0.52,9,-7.886,1,0.0387,0.118,0.000509,0.552,0.488,136.014,audio_features,5CalS8Gn69OOrR9aiw0ZO9,spotify:track:5CalS8Gn69OOrR9aiw0ZO9,https://api.spotify.com/v1/tracks/5CalS8Gn69OOrR9aiw0ZO9,https://api.spotify.com/v1/audio-analysis/5CalS8Gn69OOrR9aiw0ZO9,196055,4,2019
Quando Rondo,Imperfect Flower,0.612,0.708,2,-4.592,0,0.469,0.309,0.0,0.0851,0.321,151.194,audio_features,31sPCnzgurJnFNcvcgWNjq,spotify:track:31sPCnzgurJnFNcvcgWNjq,https://api.spotify.com/v1/tracks/31sPCnzgurJnFNcvcgWNjq,https://api.spotify.com/v1/audio-analysis/31sPCnzgurJnFNcvcgWNjq,178013,4,2019
Cody Johnson,Nothin' on You,0.358,0.358,6,-7.18,1,0.0307,0.566,0.000232,0.104,0.158,134.629,audio_features,5ggoxc2dhlFjListerctlA,spotify:track:5ggoxc2dhlFjListerctlA,https://api.spotify.com/v1/tracks/5ggoxc2dhlFjListerctlA,https://api.spotify.com/v1/audio-analysis/5ggoxc2dhlFjListerctlA,260467,3,2019
John Gurney,That's How You Got It,0.673,0.683,4,-4.224,1,0.0321,0.00181,1.06e-05,0.099,0.824,89.984,audio_features,0QFvybNsiwupz72jpQWxKn,spotify:track:0QFvybNsiwupz72jpQWxKn,https://api.spotify.com/v1/tracks/0QFvybNsiwupz72jpQWxKn,https://api.spotify.com/v1/audio-analysis/0QFvybNsiwupz72jpQWxKn,184747,4,2019
Ingrid Andress,More Hearts Than Mine,0.573,0.428,0,-7.414,1,0.0263,0.112,0.0,0.114,0.4,80.907,audio_features,0LcspVKJxhEQQSvVMiTPWz,spotify:track:0LcspVKJxhEQQSvVMiTPWz,https://api.spotify.com/v1/tracks/0LcspVKJxhEQQSvVMiTPWz,https://api.spotify.com/v1/audio-analysis/0LcspVKJxhEQQSvVMiTPWz,214160,4,2019
YG,Stop Snitchin (feat. DaBaby) - Remix,0.924,0.722,7,-3.822,1,0.252,0.0124,0.0,0.145,0.598,90.465,audio_features,4rbYZZkMTz1TTty0if3oRv,spotify:track:4rbYZZkMTz1TTty0if3oRv,https://api.spotify.com/v1/tracks/4rbYZZkMTz1TTty0if3oRv,https://api.spotify.com/v1/audio-analysis/4rbYZZkMTz1TTty0if3oRv,136733,4,2019
Mitchell Tenpenny,All On You,0.375,0.731,6,-4.123,1,0.0472,0.0703,0.0,0.0996,0.751,168.049,audio_features,3DSPGSyHGMn0deRJTu8OnK,spotify:track:3DSPGSyHGMn0deRJTu8OnK,https://api.spotify.com/v1/tracks/3DSPGSyHGMn0deRJTu8OnK,https://api.spotify.com/v1/audio-analysis/3DSPGSyHGMn0deRJTu8OnK,190023,4,2019
Young Dolph,Water on Water on Water,0.919,0.56,8,-5.221,1,0.3,0.0118,0.0,0.0963,0.382,141.001,audio_features,5YGhm6pI5s0uxJ2DwrDYqO,spotify:track:5YGhm6pI5s0uxJ2DwrDYqO,https://api.spotify.com/v1/tracks/5YGhm6pI5s0uxJ2DwrDYqO,https://api.spotify.com/v1/audio-analysis/5YGhm6pI5s0uxJ2DwrDYqO,223520,4,2019
Logic,Keanu Reeves,0.712,0.891,2,-6.457,1,0.24,0.0557,0.0,0.134,0.799,170.13,audio_features,3PYx9Wte3jwb48V0wArMOy,spotify:track:3PYx9Wte3jwb48V0wArMOy,https://api.spotify.com/v1/tracks/3PYx9Wte3jwb48V0wArMOy,https://api.spotify.com/v1/audio-analysis/3PYx9Wte3jwb48V0wArMOy,225920,4,2019
Kevin Gates,Facts,0.918,0.669,11,-4.957,0,0.411,0.0575,0.0,0.111,0.383,140.006,audio_features,2jmO5B4lo6DEVLxIZU3deT,spotify:track:2jmO5B4lo6DEVLxIZU3deT,https://api.spotify.com/v1/tracks/2jmO5B4lo6DEVLxIZU3deT,https://api.spotify.com/v1/audio-analysis/2jmO5B4lo6DEVLxIZU3deT,181996,4,2019
Latto,B*tch From Da Souf,0.862,0.235,1,-15.545,1,0.699,0.0241,0.0,0.123,0.398,150.062,audio_features,6tLWt7gkvvTSjS6OfJjiyJ,spotify:track:6tLWt7gkvvTSjS6OfJjiyJ,https://api.spotify.com/v1/tracks/6tLWt7gkvvTSjS6OfJjiyJ,https://api.spotify.com/v1/audio-analysis/6tLWt7gkvvTSjS6OfJjiyJ,144048,4,2019
